"DrawNumber","DrawYear","ShortDrawNumber","DrawDate","Number1","Number2","Number3","Number4","Number5","Number6","SpecialNumber"
"2012001","2012","001","2012-01-03","5","12","31","34","37","45","10"
"2012002","2012","002","2012-01-05","9","11","33","43","46","48","2"
"2012003","2012","003","2012-01-07","3","7","10","31","32","35","30"
"2012004","2012","004","2012-01-10","3","20","26","31","32","35","12"
"2012005","2012","005","2012-01-12","15","27","32","36","44","48","47"
"2012006","2012","006","2012-01-14","10","13","20","24","29","36","14"
"2012007","2012","007","2012-01-17","16","23","24","35","36","44","1"
"2012008","2012","008","2012-01-19","1","2","14","18","25","39","31"
"2012009","2012","009","2012-01-22","10","14","18","20","34","47","41"
"2012010","2012","010","2012-01-26","3","10","11","17","29","34","15"
"2012011","2012","011","2012-01-31","22","27","28","29","42","46","49"
"2012012","2012","012","2012-02-02","14","20","21","38","45","46","47"
"2012013","2012","013","2012-02-04","6","12","16","20","27","38","7"
"2012014","2012","014","2012-02-07","11","16","30","34","41","45","47"
"2012015","2012","015","2012-02-09","3","12","20","33","34","41","43"
"2012016","2012","016","2012-02-12","7","9","33","34","39","41","48"
"2012017","2012","017","2012-02-14","10","14","21","37","39","49","25"
"2012018","2012","018","2012-02-16","4","12","18","25","42","44","8"
"2012019","2012","019","2012-02-18","5","12","16","17","41","46","15"
"2012020","2012","020","2012-02-21","1","11","12","15","35","49","17"
"2012021","2012","021","2012-02-23","1","5","15","22","43","47","37"
"2012022","2012","022","2012-02-25","12","14","24","26","27","49","22"
"2012023","2012","023","2012-02-28","8","9","24","28","37","49","47"
"2012024","2012","024","2012-03-01","25","30","31","34","40","47","13"
"2012025","2012","025","2012-03-03","1","3","4","8","21","28","5"
"2012026","2012","026","2012-03-06","3","7","28","31","33","36","32"
"2012027","2012","027","2012-03-08","3","5","9","17","35","36","43"
"2012028","2012","028","2012-03-11","10","23","33","39","42","48","34"
"2012029","2012","029","2012-03-13","7","8","26","43","47","48","12"
"2012030","2012","030","2012-03-15","4","28","31","34","48","49","6"
"2012031","2012","031","2012-03-17","4","6","13","18","23","45","15"
"2012032","2012","032","2012-03-20","11","13","18","29","44","46","37"
"2012033","2012","033","2012-03-22","2","35","38","47","48","49","41"
"2012034","2012","034","2012-03-24","3","23","32","35","43","49","34"
"2012035","2012","035","2012-03-27","2","7","17","25","30","43","38"
"2012036","2012","036","2012-03-29","10","16","21","28","29","31","8"
"2012037","2012","037","2012-03-31","11","19","30","33","37","44","18"
"2012038","2012","038","2012-04-03","20","21","28","44","46","47","42"
"2012039","2012","039","2012-04-05","13","15","17","18","41","45","14"
"2012040","2012","040","2012-04-07","3","14","22","24","34","49","44"
"2012041","2012","041","2012-04-10","4","11","16","26","42","47","6"
"2012042","2012","042","2012-04-12","2","11","16","17","25","28","41"
"2012043","2012","043","2012-04-14","3","15","19","20","32","40","25"
"2012044","2012","044","2012-04-17","6","7","17","19","35","46","4"
"2012045","2012","045","2012-04-19","5","12","13","20","37","41","23"
"2012046","2012","046","2012-04-22","1","3","11","21","41","42","2"
"2012047","2012","047","2012-04-24","1","17","28","29","31","34","45"
"2012048","2012","048","2012-04-26","7","10","11","17","22","30","14"
"2012049","2012","049","2012-04-28","11","17","19","20","29","32","38"
"2012050","2012","050","2012-05-01","5","17","19","26","32","33","22"
"2012051","2012","051","2012-05-03","2","20","28","46","47","49","3"
"2012052","2012","052","2012-05-05","4","11","17","29","39","49","8"
"2012053","2012","053","2012-05-08","4","9","10","17","33","34","35"
"2012054","2012","054","2012-05-10","13","17","23","32","34","46","41"
"2012055","2012","055","2012-05-13","16","21","30","34","39","45","4"
"2012056","2012","056","2012-05-15","5","14","16","22","23","33","32"
"2012057","2012","057","2012-05-17","1","10","15","21","27","37","40"
"2012058","2012","058","2012-05-20","3","17","23","26","41","47","33"
"2012059","2012","059","2012-05-22","1","8","22","26","32","37","41"
"2012060","2012","060","2012-05-24","2","5","8","29","40","47","34"
"2012061","2012","061","2012-05-26","9","10","20","22","38","49","7"
"2012062","2012","062","2012-05-29","8","18","20","22","31","37","46"
"2012063","2012","063","2012-05-31","4","9","24","31","39","47","38"
"2012064","2012","064","2012-06-02","9","14","19","20","43","47","37"
"2012065","2012","065","2012-06-05","10","21","26","34","35","43","37"
"2012066","2012","066","2012-06-07","4","17","20","29","39","48","9"
"2012067","2012","067","2012-06-10","8","15","18","37","39","44","6"
"2012068","2012","068","2012-06-12","7","14","16","25","30","36","32"
"2012069","2012","069","2012-06-16","2","4","6","7","13","29","9"
"2012070","2012","070","2012-06-19","10","13","26","40","42","48","24"
"2012071","2012","071","2012-06-21","2","5","8","13","17","35","28"
"2012072","2012","072","2012-06-23","9","14","17","34","40","48","39"
"2012073","2012","073","2012-06-26","6","19","26","28","37","49","47"
"2012074","2012","074","2012-06-28","3","6","14","19","27","36","24"
"2012075","2012","075","2012-06-30","10","13","28","32","37","41","1"
"2012076","2012","076","2012-07-03","6","10","12","14","31","38","20"
"2012077","2012","077","2012-07-05","2","3","11","24","26","27","44"
"2012078","2012","078","2012-07-07","1","4","5","22","44","46","37"
"2012079","2012","079","2012-07-10","4","7","13","28","36","49","3"
"2012080","2012","080","2012-07-12","2","13","33","39","40","44","43"
"2012081","2012","081","2012-07-14","2","6","16","24","41","46","27"
"2012082","2012","082","2012-07-17","8","11","17","24","30","49","3"
"2012083","2012","083","2012-07-19","9","20","30","34","35","46","29"
"2012084","2012","084","2012-07-21","7","19","23","30","34","45","13"
"2012085","2012","085","2012-07-24","10","11","15","22","23","45","31"
"2012086","2012","086","2012-07-26","9","11","13","22","24","44","32"
"2012087","2012","087","2012-07-28","18","25","38","40","44","45","5"
"2012088","2012","088","2012-07-31","2","10","16","23","35","47","1"
"2012089","2012","089","2012-08-02","9","11","12","22","28","49","7"
"2012090","2012","090","2012-08-04","8","15","20","41","42","49","12"
"2012091","2012","091","2012-08-07","2","9","13","40","44","46","10"
"2012092","2012","092","2012-08-09","10","13","20","22","42","46","48"
"2012093","2012","093","2012-08-11","5","11","12","31","41","42","16"
"2012094","2012","094","2012-08-14","2","13","16","34","37","47","28"
"2012095","2012","095","2012-08-16","5","6","13","19","23","34","8"
"2012096","2012","096","2012-08-18","7","10","22","32","34","48","45"
"2012097","2012","097","2012-08-21","1","7","12","17","36","38","48"
"2012098","2012","098","2012-08-23","13","15","25","28","45","47","5"
"2012099","2012","099","2012-08-25","3","7","21","22","38","47","27"
"2012100","2012","100","2012-08-28","7","17","24","29","47","49","45"
"2012101","2012","101","2012-08-30","7","11","15","21","26","34","38"
"2012102","2012","102","2012-09-01","9","12","15","19","21","47","38"
"2012103","2012","103","2012-09-04","20","24","34","36","43","45","3"
"2012104","2012","104","2012-09-06","6","13","33","38","41","43","29"
"2012105","2012","105","2012-09-09","4","7","12","15","27","34","37"
"2012106","2012","106","2012-09-11","4","11","25","27","39","41","43"
"2012107","2012","107","2012-09-13","16","20","22","31","42","48","43"
"2012108","2012","108","2012-09-15","6","7","18","21","27","48","42"
"2012109","2012","109","2012-09-18","15","26","27","38","42","43","39"
"2012110","2012","110","2012-09-22","2","13","33","35","38","49","40"
"2012111","2012","111","2012-09-25","1","4","17","20","28","32","47"
"2012112","2012","112","2012-09-27","1","3","10","15","17","40","28"
