"DrawNumber","DrawYear","ShortDrawNumber","DrawDate","S_Number1","S_Number2","S_Number3","S_Number4","S_Number5","S_Number6","SpecialNumber"
"2012001","2012","001","2012-01-03","31","5","12","37","45","34","10"
"2012002","2012","002","2012-01-05","33","48","11","46","9","43","2"
"2012003","2012","003","2012-01-07","31","3","7","32","10","35","30"
"2012004","2012","004","2012-01-10","26","31","35","20","3","32","12"
"2012005","2012","005","2012-01-12","44","36","27","48","15","32","47"
"2012006","2012","006","2012-01-14","36","10","24","13","20","29","14"
"2012007","2012","007","2012-01-17","36","24","44","16","35","23","1"
"2012008","2012","008","2012-01-19","18","14","2","39","25","1","31"
"2012009","2012","009","2012-01-22","20","47","10","18","14","34","41"
"2012010","2012","010","2012-01-26","10","34","3","11","29","17","15"
"2012011","2012","011","2012-01-31","29","42","46","28","27","22","49"
"2012012","2012","012","2012-02-02","45","14","20","38","46","21","47"
"2012013","2012","013","2012-02-04","6","20","27","12","16","38","7"
"2012014","2012","014","2012-02-07","11","30","41","45","16","34","47"
"2012015","2012","015","2012-02-09","12","33","34","20","3","41","43"
"2012016","2012","016","2012-02-12","39","34","9","41","33","7","48"
"2012017","2012","017","2012-02-14","37","10","14","49","39","21","25"
"2012018","2012","018","2012-02-16","25","44","4","12","42","18","8"
"2012019","2012","019","2012-02-18","5","16","41","46","12","17","15"
"2012020","2012","020","2012-02-21","49","1","15","35","11","12","17"
"2012021","2012","021","2012-02-23","47","22","15","5","1","43","37"
"2012022","2012","022","2012-02-25","49","26","27","14","24","12","22"
"2012023","2012","023","2012-02-28","24","8","37","49","28","9","47"
"2012024","2012","024","2012-03-01","31","40","34","30","47","25","13"
"2012025","2012","025","2012-03-03","1","4","8","28","21","3","5"
"2012026","2012","026","2012-03-06","7","36","33","28","3","31","32"
"2012027","2012","027","2012-03-08","3","36","35","5","17","9","43"
"2012028","2012","028","2012-03-11","42","23","48","33","39","10","34"
"2012029","2012","029","2012-03-13","7","26","43","47","8","48","12"
"2012030","2012","030","2012-03-15","34","28","49","4","31","48","6"
"2012031","2012","031","2012-03-17","18","13","23","4","45","6","15"
"2012032","2012","032","2012-03-20","46","13","44","29","11","18","37"
"2012033","2012","033","2012-03-22","2","47","38","48","49","35","41"
"2012034","2012","034","2012-03-24","49","23","35","32","3","43","34"
"2012035","2012","035","2012-03-27","25","17","43","2","7","30","38"
"2012036","2012","036","2012-03-29","21","28","16","10","31","29","8"
"2012037","2012","037","2012-03-31","33","44","30","11","19","37","18"
"2012038","2012","038","2012-04-03","46","21","47","28","20","44","42"
"2012039","2012","039","2012-04-05","17","45","13","15","18","41","14"
"2012040","2012","040","2012-04-07","24","49","3","14","22","34","44"
"2012041","2012","041","2012-04-10","4","47","11","16","42","26","6"
"2012042","2012","042","2012-04-12","16","2","25","28","17","11","41"
"2012043","2012","043","2012-04-14","3","40","15","20","32","19","25"
"2012044","2012","044","2012-04-17","7","6","17","46","35","19","4"
"2012045","2012","045","2012-04-19","41","5","12","13","37","20","23"
"2012046","2012","046","2012-04-22","3","41","21","11","42","1","2"
"2012047","2012","047","2012-04-24","28","17","29","34","31","1","45"
"2012048","2012","048","2012-04-26","17","30","11","7","22","10","14"
"2012049","2012","049","2012-04-28","20","19","17","11","29","32","38"
"2012050","2012","050","2012-05-01","32","33","19","26","5","17","22"
"2012051","2012","051","2012-05-03","46","2","47","49","28","20","3"
"2012052","2012","052","2012-05-05","4","17","11","49","29","39","8"
"2012053","2012","053","2012-05-08","33","9","4","17","34","10","35"
"2012054","2012","054","2012-05-10","17","23","46","32","34","13","41"
"2012055","2012","055","2012-05-13","21","30","34","45","39","16","4"
"2012056","2012","056","2012-05-15","23","14","33","5","22","16","32"
"2012057","2012","057","2012-05-17","27","1","10","15","37","21","40"
"2012058","2012","058","2012-05-20","41","23","47","26","17","3","33"
"2012059","2012","059","2012-05-22","8","1","26","32","22","37","41"
"2012060","2012","060","2012-05-24","2","5","8","40","29","47","34"
"2012061","2012","061","2012-05-26","9","20","10","38","49","22","7"
"2012062","2012","062","2012-05-29","18","8","31","37","22","20","46"
"2012063","2012","063","2012-05-31","9","4","39","47","24","31","38"
"2012064","2012","064","2012-06-02","43","19","47","20","9","14","37"
"2012065","2012","065","2012-06-05","43","21","34","10","26","35","37"
"2012066","2012","066","2012-06-07","39","17","4","48","20","29","9"
"2012067","2012","067","2012-06-10","8","44","37","15","18","39","6"
"2012068","2012","068","2012-06-12","30","16","36","14","7","25","32"
"2012069","2012","069","2012-06-16","7","29","4","6","13","2","9"
"2012070","2012","070","2012-06-19","42","48","26","10","13","40","24"
"2012071","2012","071","2012-06-21","35","2","8","5","13","17","28"
"2012072","2012","072","2012-06-23","34","9","40","14","17","48","39"
"2012073","2012","073","2012-06-26","6","19","26","37","28","49","47"
"2012074","2012","074","2012-06-28","3","36","19","27","6","14","24"
"2012075","2012","075","2012-06-30","10","37","32","28","13","41","1"
"2012076","2012","076","2012-07-03","6","12","14","31","10","38","20"
"2012077","2012","077","2012-07-05","2","24","3","26","11","27","44"
"2012078","2012","078","2012-07-07","22","46","4","1","5","44","37"
"2012079","2012","079","2012-07-10","7","4","13","28","49","36","3"
"2012080","2012","080","2012-07-12","40","33","44","2","39","13","43"
"2012081","2012","081","2012-07-14","24","2","6","41","46","16","27"
"2012082","2012","082","2012-07-17","24","30","11","8","49","17","3"
"2012083","2012","083","2012-07-19","30","46","34","20","9","35","29"
"2012084","2012","084","2012-07-21","19","23","7","45","34","30","13"
"2012085","2012","085","2012-07-24","22","23","15","45","11","10","31"
"2012086","2012","086","2012-07-26","22","11","44","24","9","13","32"
"2012087","2012","087","2012-07-28","18","44","45","25","38","40","5"
"2012088","2012","088","2012-07-31","2","35","23","16","47","10","1"
"2012089","2012","089","2012-08-02","49","9","11","12","22","28","7"
"2012090","2012","090","2012-08-04","42","20","49","15","8","41","12"
"2012091","2012","091","2012-08-07","2","40","9","13","46","44","10"
"2012092","2012","092","2012-08-09","22","13","20","46","10","42","48"
"2012093","2012","093","2012-08-11","5","42","41","31","11","12","16"
"2012094","2012","094","2012-08-14","47","34","16","37","13","2","28"
"2012095","2012","095","2012-08-16","19","5","23","6","13","34","8"
"2012096","2012","096","2012-08-18","7","10","32","34","22","48","45"
"2012097","2012","097","2012-08-21","36","1","12","38","7","17","48"
"2012098","2012","098","2012-08-23","15","13","25","45","28","47","5"
"2012099","2012","099","2012-08-25","21","47","38","7","22","3","27"
"2012100","2012","100","2012-08-28","17","7","49","29","24","47","45"
"2012101","2012","101","2012-08-30","21","11","26","34","7","15","38"
"2012102","2012","102","2012-09-01","21","19","12","15","9","47","38"
"2012103","2012","103","2012-09-04","45","43","24","20","36","34","3"
"2012104","2012","104","2012-09-06","6","38","43","13","41","33","29"
"2012105","2012","105","2012-09-09","4","15","27","34","7","12","37"
"2012106","2012","106","2012-09-11","11","41","25","27","4","39","43"
"2012107","2012","107","2012-09-13","16","22","42","31","20","48","43"
"2012108","2012","108","2012-09-15","27","18","7","21","48","6","42"
"2012109","2012","109","2012-09-18","27","15","43","38","42","26","39"
"2012110","2012","110","2012-09-22","2","49","38","35","33","13","40"
"2012111","2012","111","2012-09-25","1","28","17","4","32","20","47"
"2012112","2012","112","2012-09-27","17","3","40","15","10","1","28"
"2012113","2012","113","2012-09-29","2","17","26","16","8","20","32"
"2012114","2012","114","2012-10-02","33","12","37","24","44","25","13"
"2012115","2012","115","2012-10-07","1","10","47","29","12","13","9"
"2012116","2012","116","2012-10-09","21","22","36","15","27","17","16"
"2012117","2012","117","2012-10-11","46","18","40","11","1","3","35"
"2012118","2012","118","2012-10-13","26","5","11","33","41","6","4"
"2012119","2012","119","2012-10-16","35","27","9","44","39","17","40"
"2012120","2012","120","2012-10-18","10","6","4","16","29","14","26"
"2012121","2012","121","2012-10-20","31","4","19","44","34","37","6"
"2012122","2012","122","2012-10-23","11","29","45","47","28","41","21"
"2012123","2012","123","2012-10-25","40","17","43","23","41","8","28"
"2012124","2012","124","2012-10-27","34","36","26","28","30","39","1"
"2012125","2012","125","2012-10-30","40","1","28","34","20","30","19"
"2012126","2012","126","2012-11-01","18","34","28","24","42","15","2"
"2012127","2012","127","2012-11-03","36","33","46","12","1","48","41"
"2012128","2012","128","2012-11-06","37","39","6","28","8","1","42"
"2012129","2012","129","2012-11-08","47","26","37","44","31","15","43"
"2012130","2012","130","2012-11-11","26","45","47","35","28","9","25"
"2012131","2012","131","2012-11-13","29","5","30","26","25","3","31"
"2012132","2012","132","2012-11-15","46","20","36","41","18","48","21"
